line_item_usage_account_id,Product_region_code,line_item_usage_type,pricing_unit,Month,product_servicename,line_item_usage_type,Usage,Cost
Account3,us-west-2,us-west-2-KMS-Requests,Requests,4,AWS Key Management Service,us-west-2-KMS-Requests,120,0.000360
Account4,eu-west-1,EU-Airflow-SmallEnvironment,Hrs,4,Amazon Managed Workflows for Apache Airflow,EU-Airflow-SmallEnvironment,28689.75824,14057.981536
Account1,ap-southeast-1,APS1-CW:AlarmMonitorUsage,Alarms,4,AmazonCloudWatch,APS1-CW:AlarmMonitorUsage,1.000000008,0.100000
Account4,,EUC1-APS2-AWS-Out-Bytes,GB,4,AWS Data Transfer,EUC1-APS2-AWS-Out-Bytes,5.87E-05,0.000001
Account4,ap-northeast-3,APN3-PaidEventsRecorded,Events,4,AWS CloudTrail,APN3-PaidEventsRecorded,23225,0.464500
Account3,,EUW2-USE2-AWS-Out-Bytes,GB,4,AWS Data Transfer,EUW2-USE2-AWS-Out-Bytes,5.74E-05,0.000001
Account6,eu-west-1,EU-SecurityHubProduct:FreeFindingsIngestion,Finding Ingestion Events,4,AWS Security Hub,EU-SecurityHubProduct:FreeFindingsIngestion,515977,0.000000
Account4,eu-west-2,EUW2-Requests-FIFO-Tier1,Requests,4,Amazon Simple Queue Service,EUW2-Requests-FIFO-Tier1,258631,0.129315
Account5,ap-northeast-3,APN3-CW:AlarmMonitorUsage,Alarms,4,AmazonCloudWatch,APN3-CW:AlarmMonitorUsage,1.000000008,0.100000
Account4,us-west-2,USW2-PaidEventsRecorded,Events,4,AWS CloudTrail,USW2-PaidEventsRecorded,32926,0.658520
Account5,eu-west-2,eu-west-2-KMS-Requests,Requests,1,AWS Key Management Service,eu-west-2-KMS-Requests,18086,0.054258
Account4,,EU-APN2-AWS-Out-Bytes,GB,1,AWS Data Transfer,EU-APN2-AWS-Out-Bytes,0.014987732,0.000300
Account1,eu-west-2,EUW2-Lambda-Standard-Scanning-free-trial,Hourly,1,Amazon Inspector,EUW2-Lambda-Standard-Scanning-free-trial,10800.20035,0.000000
Account6,eu-west-2,EUW2-PaidEventsAnalyzed,Events,1,Amazon GuardDuty,EUW2-PaidEventsAnalyzed,1165628,5.128763
Account4,,USE1-SAE1-AWS-Out-Bytes,GB,1,AWS Data Transfer,USE1-SAE1-AWS-Out-Bytes,0.002998979,0.000060
Account6,eu-central-1,EUC1-Lambda-Standard-Scanning,Hourly,1,Amazon Inspector,EUC1-Lambda-Standard-Scanning,2096.139704,1.048070
Account2,,EUW2-APN2-AWS-Out-Bytes,GB,1,AWS Data Transfer,EUW2-APN2-AWS-Out-Bytes,5.93E-05,0.000001
